Solar System,Planet,Distance (light-years),Travel Time at Speed of Light (years),Atmospheric Oxygen Content,Soil Fertility,Median Seasonal Temperatures (F),Availability of Potable Water,Suitability for Life
System555,Planet2,905.55,905.55,0.28,0.67,84.42,Y,No
System555,Planet3,557.41,557.41,0.29,0.68,-20.86,Y,No
System556,Planet1,634.21,634.21,0.29,0.6,64.24,N,No
System556,Planet2,854.05,854.05,0.29,0.73,7.82,Y,No
System556,Planet3,286.62,286.62,0.29,0.57,-18.31,N,No
System557,Planet1,498.61,498.61,0.12,0.43,-28.9,N,No
System557,Planet2,1293.79,1293.79,0.29,0.63,84.51,N,No
System557,Planet3,322.16,322.16,0.21,0.6,-13.1,Y,No
System558,Planet1,573.61,573.61,0.23,0.55,85.61,Y,No
System558,Planet2,1121.39,1121.39,0.2,0.38,47.32,Y,No
System558,Planet3,1335.48,1335.48,0.16,0.56,62.7,Y,No
System559,Planet1,1017.53,1017.53,0.21,0.54,19.68,Y,No
System559,Planet2,326.16,326.16,0.25,0.46,91.41,N,No
System559,Planet3,1431.03,1431.03,0.17,0.46,6.17,Y,No
System560,Planet1,1258.13,1258.13,0.13,0.43,64.7,N,No
System560,Planet2,868.64,868.64,0.23,0.61,39.22,N,No
System560,Planet3,68.41,68.41,0.28,0.32,65.92,N,No
System561,Planet1,684.0,684.0,0.14,0.58,96.69,N,No
System561,Planet2,1114.7,1114.7,0.21,0.69,74.47,Y,No
System561,Planet3,1213.94,1213.94,0.13,0.62,52.5,N,No
System562,Planet1,1016.44,1016.44,0.15,0.37,12.65,N,No
System562,Planet2,1062.07,1062.07,0.24,0.35,20.13,N,No
System562,Planet3,441.03,441.03,0.14,0.37,36.73,N,No
System563,Planet1,166.25,166.25,0.21,0.57,38.01,N,No
System563,Planet2,134.27,134.27,0.15,0.69,17.68,N,No
System563,Planet3,1212.22,1212.22,0.16,0.65,-3.86,N,No
System564,Planet1,756.78,756.78,0.15,0.33,-22.56,N,No
System564,Planet2,798.27,798.27,0.11,0.79,-21.38,N,No
System564,Planet3,162.17,162.17,0.24,0.46,29.9,Y,No
System565,Planet1,1074.53,1074.53,0.2,0.39,40.32,N,No
System565,Planet2,84.09,84.09,0.12,0.35,86.47,Y,No
System565,Planet3,740.36,740.36,0.26,0.74,85.97,N,No
System566,Planet1,828.83,828.83,0.17,0.39,3.76,N,No
System566,Planet2,1034.74,1034.74,0.12,0.35,29.29,N,No
System566,Planet3,844.71,844.71,0.3,0.53,90.31,N,No
System567,Planet1,308.46,308.46,0.21,0.48,82.78,Y,No
System567,Planet2,581.05,581.05,0.13,0.61,66.75,Y,No
System567,Planet3,65.18,65.18,0.27,0.31,60.47,N,No
System568,Planet1,1043.9,1043.9,0.21,0.77,85.52,Y,No
System568,Planet2,329.55,329.55,0.26,0.6,-12.87,N,No
System568,Planet3,296.2,296.2,0.23,0.49,-30.0,N,No
System569,Planet1,524.23,524.23,0.28,0.64,-12.25,N,No
System569,Planet2,983.88,983.88,0.22,0.5,34.26,Y,No
System569,Planet3,35.25,35.25,0.23,0.52,57.44,Y,No
System570,Planet1,667.26,667.26,0.13,0.74,78.27,N,No
System570,Planet2,187.31,187.31,0.13,0.37,97.16,Y,No
System570,Planet3,283.28,283.28,0.23,0.73,28.72,N,No
System571,Planet1,73.16,73.16,0.17,0.36,81.14,N,No
System571,Planet2,933.47,933.47,0.1,0.79,80.57,N,No
System571,Planet3,269.19,269.19,0.18,0.69,52.27,N,No
System572,Planet1,1381.13,1381.13,0.2,0.54,87.3,N,No
System572,Planet2,119.72,119.72,0.27,0.43,32.04,Y,No
System572,Planet3,1159.32,1159.32,0.21,0.64,45.74,Y,No
System573,Planet1,1484.04,1484.04,0.26,0.67,29.17,Y,No
System573,Planet2,206.61,206.61,0.17,0.53,77.73,Y,No
System573,Planet3,799.85,799.85,0.17,0.79,88.27,N,No
System574,Planet1,838.25,838.25,0.14,0.36,70.23,N,No
System574,Planet2,747.3,747.3,0.25,0.5,42.75,N,No
System574,Planet3,199.08,199.08,0.23,0.73,98.97,N,No
System575,Planet1,340.23,340.23,0.25,0.46,-21.02,Y,No
System575,Planet2,1322.96,1322.96,0.14,0.8,77.43,N,No
System575,Planet3,1398.75,1398.75,0.11,0.77,91.89,Y,No
System576,Planet1,1384.82,1384.82,0.11,0.77,62.1,N,No
System576,Planet2,1265.79,1265.79,0.16,0.62,54.04,N,No
System576,Planet3,853.09,853.09,0.17,0.7,13.6,Y,No
System577,Planet1,1251.57,1251.57,0.17,0.59,90.79,Y,No
System577,Planet2,1390.58,1390.58,0.29,0.57,63.82,Y,No
System577,Planet3,1052.23,1052.23,0.14,0.45,51.3,Y,No
System578,Planet1,346.44,346.44,0.3,0.52,92.0,N,No
System578,Planet2,240.7,240.7,0.14,0.33,30.24,N,No
System578,Planet3,463.65,463.65,0.16,0.44,63.44,N,No
System579,Planet1,443.26,443.26,0.29,0.5,21.89,Y,No
System579,Planet2,887.53,887.53,0.13,0.32,-9.51,N,No
System579,Planet3,399.68,399.68,0.16,0.59,-28.45,N,No
System580,Planet1,136.08,136.08,0.28,0.51,85.44,N,No
System580,Planet2,868.82,868.82,0.2,0.75,9.15,Y,No
System580,Planet3,540.81,540.81,0.23,0.53,13.07,N,No
System581,Planet1,1496.2,1496.2,0.27,0.58,38.14,Y,No
System581,Planet2,730.84,730.84,0.11,0.5,46.05,Y,No
System581,Planet3,478.48,478.48,0.16,0.61,36.12,N,No
System582,Planet1,951.98,951.98,0.23,0.37,15.05,N,No
System582,Planet2,718.67,718.67,0.12,0.74,70.09,N,No
System582,Planet3,12.63,12.63,0.17,0.67,76.99,N,No
System583,Planet1,1155.44,1155.44,0.17,0.41,3.93,Y,No
System583,Planet2,952.27,952.27,0.23,0.5,-8.41,Y,No
System583,Planet3,963.84,963.84,0.28,0.72,99.48,Y,No
System584,Planet1,84.04,84.04,0.12,0.34,8.61,N,No
System584,Planet2,1321.92,1321.92,0.29,0.66,-2.5,N,No
System584,Planet3,255.67,255.67,0.23,0.51,53.94,Y,No
System585,Planet1,1026.8,1026.8,0.13,0.67,46.42,Y,No
System585,Planet2,393.67,393.67,0.22,0.51,46.24,Y,No
System585,Planet3,1043.26,1043.26,0.23,0.4,-25.29,Y,No
System586,Planet1,1400.25,1400.25,0.23,0.56,7.89,Y,No
System586,Planet2,331.52,331.52,0.29,0.41,50.57,N,No
System586,Planet3,1234.07,1234.07,0.29,0.4,-15.87,N,No
System587,Planet1,2.2,2.2,0.23,0.71,5.61,N,No
System587,Planet2,348.85,348.85,0.14,0.67,-24.17,N,No
System587,Planet3,614.62,614.62,0.24,0.76,38.61,N,No
System588,Planet1,554.75,554.75,0.13,0.33,-24.0,Y,No
System588,Planet2,264.01,264.01,0.21,0.78,48.29,N,No
System588,Planet3,222.14,222.14,0.12,0.53,53.21,N,No
System589,Planet1,945.18,945.18,0.28,0.56,67.02,Y,No
System589,Planet2,765.31,765.31,0.21,0.42,-4.76,Y,No
System589,Planet3,856.88,856.88,0.19,0.4,23.02,Y,No
System590,Planet1,391.82,391.82,0.21,0.64,12.48,N,No
System590,Planet2,586.32,586.32,0.25,0.62,66.47,Y,No
System590,Planet3,1462.23,1462.23,0.28,0.51,34.37,Y,No
System591,Planet1,1226.75,1226.75,0.11,0.33,90.55,Y,No
System591,Planet2,632.99,632.99,0.27,0.79,41.6,Y,No
System591,Planet3,1273.41,1273.41,0.24,0.73,82.04,Y,No
System592,Planet1,400.0,400.0,0.11,0.59,20.32,Y,No
System592,Planet2,812.38,812.38,0.12,0.78,41.07,N,No
System592,Planet3,341.57,341.57,0.12,0.7,-17.54,Y,No
System593,Planet1,1167.83,1167.83,0.21,0.36,70.13,N,No
System593,Planet2,454.74,454.74,0.19,0.64,9.8,Y,No
System593,Planet3,1160.31,1160.31,0.28,0.57,2.07,N,No
System594,Planet1,751.65,751.65,0.24,0.58,13.51,Y,No
System594,Planet2,1453.51,1453.51,0.14,0.78,10.58,N,No
System594,Planet3,636.88,636.88,0.13,0.72,26.32,Y,No
System595,Planet1,1469.59,1469.59,0.28,0.74,-26.84,N,No
System595,Planet2,173.21,173.21,0.27,0.35,-21.8,Y,No
System595,Planet3,74.24,74.24,0.12,0.37,26.03,N,No
System596,Planet1,1016.42,1016.42,0.22,0.72,78.9,N,No
System596,Planet2,1133.97,1133.97,0.17,0.59,53.11,Y,No
System596,Planet3,892.3,892.3,0.18,0.65,-22.57,Y,No
System597,Planet1,705.13,705.13,0.11,0.65,81.38,Y,No
System597,Planet2,26.32,26.32,0.12,0.73,53.13,Y,No
System597,Planet3,341.26,341.26,0.28,0.31,-21.27,N,No
System598,Planet1,210.16,210.16,0.16,0.63,92.99,Y,No
System598,Planet2,235.26,235.26,0.13,0.58,86.76,N,No
System598,Planet3,614.08,614.08,0.18,0.4,50.58,Y,No
System599,Planet1,476.34,476.34,0.23,0.33,43.37,N,No
System599,Planet2,1064.87,1064.87,0.13,0.73,17.58,N,No
System599,Planet3,341.37,341.37,0.12,0.4,27.8,N,No
System600,Planet1,1313.19,1313.19,0.16,0.44,48.73,N,No
System600,Planet2,871.04,871.04,0.16,0.31,91.83,N,No
System600,Planet3,534.56,534.56,0.19,0.47,-16.86,Y,No
System601,Planet1,1345.3,1345.3,0.24,0.6,51.39,Y,No
System601,Planet2,812.03,812.03,0.26,0.63,54.45,N,No
System601,Planet3,734.16,734.16,0.18,0.73,-24.71,N,No
System602,Planet1,1137.15,1137.15,0.29,0.36,22.05,N,No
System602,Planet2,809.03,809.03,0.19,0.43,63.4,N,No
System602,Planet3,1038.66,1038.66,0.14,0.31,64.44,N,No
System603,Planet1,432.29,432.29,0.14,0.76,59.85,Y,No
System603,Planet2,503.13,503.13,0.2,0.31,-26.44,Y,No
System603,Planet3,568.08,568.08,0.1,0.4,92.22,N,No
System604,Planet1,849.92,849.92,0.12,0.59,-7.42,N,No
System604,Planet2,485.35,485.35,0.23,0.69,2.82,Y,No
System604,Planet3,944.43,944.43,0.26,0.49,-19.48,N,No
System605,Planet1,1027.38,1027.38,0.15,0.51,-10.88,Y,No
System605,Planet2,908.28,908.28,0.24,0.7,26.67,N,No
System605,Planet3,566.43,566.43,0.28,0.49,58.02,N,No
System606,Planet1,145.18,145.18,0.12,0.67,-22.62,Y,No
System606,Planet2,532.73,532.73,0.28,0.56,49.67,N,No
System606,Planet3,1156.95,1156.95,0.3,0.52,38.52,N,No
System607,Planet1,64.76,64.76,0.26,0.5,29.02,Y,No
System607,Planet2,1160.5,1160.5,0.16,0.7,37.94,N,No
System607,Planet3,538.66,538.66,0.29,0.37,79.03,Y,No
System608,Planet1,1306.38,1306.38,0.2,0.53,-23.11,Y,No
System608,Planet2,1347.54,1347.54,0.14,0.48,52.4,N,No
System608,Planet3,981.17,981.17,0.19,0.61,1.41,Y,No
System609,Planet1,1352.63,1352.63,0.24,0.6,31.87,Y,No
System609,Planet2,1017.71,1017.71,0.23,0.47,67.7,Y,No
System609,Planet3,467.76,467.76,0.15,0.31,71.22,Y,No
System610,Planet1,1224.35,1224.35,0.19,0.37,56.79,N,No
System610,Planet2,659.94,659.94,0.27,0.45,44.18,Y,No
System610,Planet3,1146.94,1146.94,0.29,0.67,85.14,Y,No
System611,Planet1,1163.87,1163.87,0.27,0.49,-28.6,N,No
System611,Planet2,889.91,889.91,0.18,0.47,62.48,Y,No
System611,Planet3,892.37,892.37,0.22,0.4,-7.88,N,No
System612,Planet1,1327.91,1327.91,0.19,0.42,48.42,Y,No
System612,Planet2,1136.09,1136.09,0.12,0.47,99.57,N,No
System612,Planet3,878.1,878.1,0.17,0.72,9.28,N,No
System613,Planet1,836.56,836.56,0.17,0.62,6.13,N,No
System613,Planet2,1358.74,1358.74,0.29,0.79,52.16,Y,No
System613,Planet3,1258.89,1258.89,0.12,0.56,85.95,N,No
System614,Planet1,238.84,238.84,0.25,0.38,74.4,Y,No
System614,Planet2,1342.14,1342.14,0.29,0.7,94.64,N,No
System614,Planet3,865.71,865.71,0.13,0.58,75.41,Y,No
System615,Planet1,285.29,285.29,0.3,0.6,32.92,Y,No
System615,Planet2,132.21,132.21,0.16,0.77,1.17,Y,No
System615,Planet3,1226.69,1226.69,0.2,0.57,42.94,N,No
System616,Planet1,148.91,148.91,0.1,0.31,19.26,Y,No
System616,Planet2,473.91,473.91,0.26,0.49,14.58,Y,No
System616,Planet3,716.3,716.3,0.3,0.7,-9.95,Y,No
System617,Planet1,75.75,75.75,0.17,0.79,29.95,N,No
System617,Planet2,412.68,412.68,0.29,0.35,84.34,N,No
System617,Planet3,925.85,925.85,0.12,0.58,40.71,Y,No
System618,Planet1,495.99,495.99,0.13,0.7,76.93,Y,No
System618,Planet2,59.21,59.21,0.29,0.36,49.42,N,No
System618,Planet3,354.44,354.44,0.26,0.71,56.01,Y,No
System619,Planet1,371.97,371.97,0.22,0.7,65.12,Y,No
System619,Planet2,439.79,439.79,0.28,0.45,34.63,N,No
System619,Planet3,370.58,370.58,0.13,0.46,-22.74,N,No
System620,Planet1,356.27,356.27,0.22,0.6,63.69,Y,No
System620,Planet2,251.05,251.05,0.24,0.63,50.74,N,No
System620,Planet3,1243.8,1243.8,0.19,0.3,87.77,Y,No
System621,Planet1,62.41,62.41,0.22,0.34,70.28,Y,No
System621,Planet2,1477.05,1477.05,0.18,0.61,54.64,N,No
System621,Planet3,1169.04,1169.04,0.15,0.58,-8.8,N,No
System622,Planet1,324.72,324.72,0.13,0.59,10.43,N,No
System622,Planet2,899.44,899.44,0.25,0.48,49.29,Y,No
System622,Planet3,41.6,41.6,0.22,0.6,65.33,N,No
System623,Planet1,125.23,125.23,0.22,0.74,8.32,N,No
System623,Planet2,732.86,732.86,0.3,0.55,64.5,N,No
System623,Planet3,1334.81,1334.81,0.29,0.72,69.48,N,No
System624,Planet1,690.03,690.03,0.12,0.48,-5.51,Y,No
System624,Planet2,493.09,493.09,0.2,0.73,78.32,Y,No
System624,Planet3,869.33,869.33,0.24,0.49,76.28,Y,No
System625,Planet1,1070.85,1070.85,0.27,0.65,-13.27,N,No
System625,Planet2,537.61,537.61,0.13,0.44,42.5,Y,No
System625,Planet3,1002.95,1002.95,0.16,0.77,79.06,N,No
System626,Planet1,239.68,239.68,0.23,0.68,-8.15,N,No
System626,Planet2,1320.57,1320.57,0.15,0.74,3.38,N,No
System626,Planet3,1081.72,1081.72,0.25,0.64,67.04,Y,No
System627,Planet1,79.13,79.13,0.22,0.73,-17.76,N,No
System627,Planet2,935.04,935.04,0.11,0.51,4.02,Y,No
System627,Planet3,342.18,342.18,0.27,0.42,92.85,N,No
System628,Planet1,1494.45,1494.45,0.26,0.61,-27.0,Y,No
System628,Planet2,1216.16,1216.16,0.16,0.66,99.7,N,No
System628,Planet3,977.67,977.67,0.22,0.59,61.67,Y,No
System629,Planet1,813.63,813.63,0.1,0.58,-28.97,N,No
System629,Planet2,994.29,994.29,0.27,0.38,-29.44,Y,No
System629,Planet3,1016.06,1016.06,0.11,0.61,20.46,Y,No
System630,Planet1,518.96,518.96,0.23,0.59,45.52,Y,No
System630,Planet2,1215.21,1215.21,0.25,0.47,-9.9,N,No
System630,Planet3,1016.37,1016.37,0.12,0.39,-17.1,Y,No
System631,Planet1,501.31,501.31,0.3,0.72,58.07,Y,No
System631,Planet2,329.46,329.46,0.18,0.42,-3.05,N,No
System631,Planet3,193.09,193.09,0.19,0.52,98.56,N,No
System632,Planet1,1393.68,1393.68,0.28,0.78,97.17,Y,No
System632,Planet2,1063.26,1063.26,0.24,0.77,17.34,N,No
System632,Planet3,1438.86,1438.86,0.3,0.37,-9.11,Y,No
System633,Planet1,1075.26,1075.26,0.16,0.41,45.52,Y,No
System633,Planet2,1370.51,1370.51,0.3,0.71,45.55,Y,No
System633,Planet3,286.08,286.08,0.19,0.44,-10.73,Y,No
System634,Planet1,773.44,773.44,0.23,0.5,35.89,N,No
System634,Planet2,1389.8,1389.8,0.23,0.69,46.76,Y,No
System634,Planet3,1113.02,1113.02,0.12,0.61,14.93,N,No
System635,Planet1,171.7,171.7,0.29,0.35,88.84,N,No
System635,Planet2,74.07,74.07,0.13,0.74,9.16,N,No
System635,Planet3,76.02,76.02,0.24,0.67,26.29,N,No
System636,Planet1,567.3,567.3,0.13,0.77,44.36,N,No
System636,Planet2,168.51,168.51,0.21,0.79,76.3,N,No
System636,Planet3,256.26,256.26,0.26,0.53,-15.27,Y,No
System637,Planet1,234.18,234.18,0.14,0.38,62.09,Y,No
System637,Planet2,1111.95,1111.95,0.26,0.78,17.58,Y,No
System637,Planet3,131.28,131.28,0.14,0.71,57.68,Y,No
System638,Planet1,996.78,996.78,0.2,0.65,41.76,Y,No
System638,Planet2,346.43,346.43,0.13,0.61,83.62,N,No
System638,Planet3,960.67,960.67,0.2,0.5,65.5,N,No
System639,Planet1,392.05,392.05,0.13,0.55,74.96,N,No
System639,Planet2,395.46,395.46,0.28,0.52,97.01,Y,No
System639,Planet3,532.94,532.94,0.2,0.73,97.05,Y,No
System640,Planet1,923.37,923.37,0.2,0.54,71.95,Y,No
System640,Planet2,1140.8,1140.8,0.26,0.32,-26.7,N,No
System640,Planet3,502.65,502.65,0.1,0.66,84.01,Y,No
System641,Planet1,140.84,140.84,0.18,0.77,72.71,N,No
System641,Planet2,95.01,95.01,0.19,0.73,-7.26,N,No
System641,Planet3,1122.64,1122.64,0.24,0.53,-9.59,Y,No
System642,Planet1,498.76,498.76,0.23,0.74,-10.97,Y,No
System642,Planet2,950.48,950.48,0.18,0.46,7.18,Y,No
System642,Planet3,272.72,272.72,0.17,0.36,-2.39,N,No
System643,Planet1,1049.35,1049.35,0.2,0.35,67.22,Y,No
System643,Planet2,412.44,412.44,0.3,0.62,43.6,N,No
System643,Planet3,1411.49,1411.49,0.19,0.39,46.03,Y,No
System644,Planet1,1072.12,1072.12,0.3,0.65,-5.33,Y,No
System644,Planet2,668.17,668.17,0.11,0.57,89.91,Y,No
System644,Planet3,977.97,977.97,0.18,0.35,-22.6,Y,No
System645,Planet1,1012.83,1012.83,0.24,0.62,-10.96,N,No
System645,Planet2,315.16,315.16,0.23,0.35,-7.84,Y,No
System645,Planet3,287.87,287.87,0.14,0.75,70.29,N,No
System646,Planet1,629.49,629.49,0.21,0.36,-2.97,N,No
System646,Planet2,402.23,402.23,0.22,0.43,-25.54,Y,No
System646,Planet3,279.63,279.63,0.14,0.43,54.54,Y,No
System647,Planet1,1180.67,1180.67,0.2,0.63,-3.26,Y,No
System647,Planet2,391.84,391.84,0.24,0.73,96.51,N,No
System647,Planet3,182.95,182.95,0.28,0.64,98.08,Y,No
System648,Planet1,575.07,575.07,0.17,0.47,-2.62,Y,No
System648,Planet2,979.44,979.44,0.24,0.76,21.57,Y,No
System648,Planet3,1201.14,1201.14,0.15,0.5,-3.19,N,No
System649,Planet1,1443.25,1443.25,0.16,0.77,-29.15,Y,No
System649,Planet2,1100.76,1100.76,0.11,0.41,80.96,N,No
System649,Planet3,300.32,300.32,0.18,0.74,58.58,N,No
System650,Planet1,937.42,937.42,0.14,0.65,94.97,Y,No
System650,Planet2,302.64,302.64,0.29,0.79,-21.38,N,No
System650,Planet3,1374.64,1374.64,0.16,0.67,68.7,N,No
System651,Planet1,1289.62,1289.62,0.17,0.79,64.67,N,No
System651,Planet2,1158.52,1158.52,0.23,0.79,-0.56,Y,No
System651,Planet3,1249.71,1249.71,0.28,0.38,-16.57,Y,No
System652,Planet1,521.86,521.86,0.19,0.5,-22.43,N,No
System652,Planet2,1170.91,1170.91,0.25,0.66,3.94,Y,No
System652,Planet3,295.98,295.98,0.11,0.64,32.72,Y,No
System653,Planet1,1015.89,1015.89,0.11,0.54,-19.26,N,No
System653,Planet2,782.65,782.65,0.2,0.64,60.93,Y,No
System653,Planet3,1315.45,1315.45,0.26,0.74,97.74,Y,No
System654,Planet1,424.02,424.02,0.19,0.43,-20.78,Y,No
System654,Planet2,419.38,419.38,0.27,0.59,53.1,N,No
System654,Planet3,677.06,677.06,0.19,0.63,70.29,Y,No
System655,Planet1,671.51,671.51,0.11,0.65,71.96,N,No
System655,Planet2,102.83,102.83,0.24,0.42,65.3,N,No
System655,Planet3,389.96,389.96,0.3,0.63,15.83,N,No
System656,Planet1,44.17,44.17,0.2,0.56,9.21,Y,No
System656,Planet2,1127.99,1127.99,0.14,0.48,71.22,Y,No
System656,Planet3,518.45,518.45,0.11,0.46,66.2,Y,No
System657,Planet1,1310.37,1310.37,0.2,0.33,93.87,Y,No
System657,Planet2,1246.87,1246.87,0.27,0.43,-25.55,Y,No
System657,Planet3,412.88,412.88,0.27,0.8,63.76,Y,No
System658,Planet1,450.72,450.72,0.26,0.76,92.15,N,No
System658,Planet2,354.65,354.65,0.14,0.36,80.46,N,No
System658,Planet3,1081.88,1081.88,0.22,0.74,36.97,Y,No
System659,Planet1,1215.01,1215.01,0.24,0.62,41.33,Y,No
System659,Planet2,316.32,316.32,0.21,0.43,13.07,Y,No
System659,Planet3,1493.56,1493.56,0.2,0.49,18.16,Y,No
System660,Planet1,446.48,446.48,0.14,0.54,6.95,Y,No
System660,Planet2,459.39,459.39,0.1,0.69,41.0,Y,No
System660,Planet3,1409.29,1409.29,0.2,0.66,54.77,N,No
System661,Planet1,430.16,430.16,0.17,0.58,-3.81,N,No
System661,Planet2,566.71,566.71,0.2,0.43,8.44,Y,No
System661,Planet3,870.17,870.17,0.26,0.74,-29.44,N,No
System662,Planet1,229.43,229.43,0.29,0.33,71.15,Y,No
System662,Planet2,879.67,879.67,0.24,0.54,94.59,Y,No
System662,Planet3,628.38,628.38,0.14,0.72,95.73,Y,No
System663,Planet1,916.75,916.75,0.2,0.75,-21.33,Y,No
System663,Planet2,238.19,238.19,0.27,0.4,57.88,N,No
System663,Planet3,756.41,756.41,0.19,0.63,-8.19,N,No
System664,Planet1,1125.42,1125.42,0.11,0.77,54.36,Y,No
System664,Planet2,1254.14,1254.14,0.2,0.5,91.12,Y,No
System664,Planet3,1331.89,1331.89,0.17,0.69,17.65,Y,No
System665,Planet1,264.16,264.16,0.21,0.39,33.54,N,No
System665,Planet2,1313.68,1313.68,0.23,0.54,60.93,Y,No
System665,Planet3,1393.72,1393.72,0.1,0.68,93.69,N,No
System666,Planet1,466.18,466.18,0.13,0.43,43.61,N,No
System666,Planet2,11.19,11.19,0.17,0.68,11.53,Y,No
System666,Planet3,1399.52,1399.52,0.14,0.37,72.26,N,No
System667,Planet1,426.43,426.43,0.23,0.61,-0.52,Y,No
System667,Planet2,780.8,780.8,0.15,0.46,9.98,N,No
System667,Planet3,143.67,143.67,0.27,0.72,86.89,N,No
System668,Planet1,813.31,813.31,0.27,0.56,86.54,Y,No
System668,Planet2,1363.1,1363.1,0.3,0.47,87.73,Y,No
System668,Planet3,1274.42,1274.42,0.22,0.72,-18.22,N,No
System669,Planet1,1187.56,1187.56,0.18,0.38,59.54,N,No
System669,Planet2,421.2,421.2,0.28,0.32,87.87,Y,No
System669,Planet3,1383.58,1383.58,0.27,0.64,-11.87,N,No
System670,Planet1,591.67,591.67,0.27,0.34,53.71,N,No
System670,Planet2,838.7,838.7,0.29,0.49,42.25,Y,No
System670,Planet3,842.26,842.26,0.24,0.44,16.43,Y,No
System671,Planet1,905.58,905.58,0.18,0.59,55.27,N,No
System671,Planet2,802.33,802.33,0.24,0.71,67.67,Y,No
System671,Planet3,1139.5,1139.5,0.21,0.65,-18.82,N,No
System672,Planet1,198.89,198.89,0.14,0.63,20.75,N,No
System672,Planet2,1148.13,1148.13,0.16,0.51,34.87,N,No
System672,Planet3,812.66,812.66,0.29,0.76,61.82,N,No
System673,Planet1,660.94,660.94,0.25,0.78,50.99,Y,No
System673,Planet2,166.33,166.33,0.25,0.72,-18.13,N,No
System673,Planet3,618.61,618.61,0.18,0.36,46.98,N,No
System674,Planet1,716.03,716.03,0.24,0.8,-7.27,Y,No
System674,Planet2,77.39,77.39,0.23,0.39,66.86,Y,No
System674,Planet3,1106.01,1106.01,0.24,0.42,-1.76,Y,No
System675,Planet1,1097.2,1097.2,0.27,0.64,61.18,Y,No
System675,Planet2,1473.37,1473.37,0.26,0.47,9.37,N,No
System675,Planet3,667.12,667.12,0.12,0.67,90.7,N,No
System676,Planet1,266.72,266.72,0.11,0.34,20.25,N,No
System676,Planet2,121.54,121.54,0.28,0.55,51.17,N,No
System676,Planet3,933.04,933.04,0.13,0.67,58.34,Y,No
System677,Planet1,309.47,309.47,0.13,0.62,97.6,Y,No
System677,Planet2,71.18,71.18,0.18,0.39,24.48,Y,No
System677,Planet3,151.48,151.48,0.2,0.56,1.37,Y,No
System678,Planet1,323.26,323.26,0.11,0.7,-26.68,Y,No
System678,Planet2,1032.98,1032.98,0.28,0.4,10.58,N,No
System678,Planet3,853.33,853.33,0.17,0.72,77.4,Y,No
System679,Planet1,1095.08,1095.08,0.19,0.74,80.63,Y,No
System679,Planet2,1433.68,1433.68,0.22,0.79,21.49,Y,No
System679,Planet3,443.13,443.13,0.16,0.46,57.7,Y,No
System680,Planet1,547.95,547.95,0.17,0.63,7.38,N,No
System680,Planet2,228.3,228.3,0.18,0.69,60.69,N,No
System680,Planet3,329.59,329.59,0.27,0.71,40.83,N,No
System681,Planet1,431.61,431.61,0.15,0.56,-26.9,N,No
System681,Planet2,553.34,553.34,0.29,0.39,-22.1,N,No
System681,Planet3,686.28,686.28,0.2,0.31,76.41,Y,No
System682,Planet1,438.58,438.58,0.22,0.49,3.67,N,No
System682,Planet2,943.32,943.32,0.21,0.78,33.63,Y,No
System682,Planet3,1011.42,1011.42,0.17,0.41,60.84,N,No
System683,Planet1,960.78,960.78,0.16,0.62,43.11,Y,No
System683,Planet2,859.3,859.3,0.14,0.77,93.88,N,No
System683,Planet3,166.58,166.58,0.16,0.46,89.94,N,No
System684,Planet1,174.61,174.61,0.2,0.35,-6.66,N,No
System684,Planet2,317.88,317.88,0.16,0.37,96.77,N,No
System684,Planet3,778.11,778.11,0.14,0.35,-25.49,N,No
System685,Planet1,1208.62,1208.62,0.28,0.34,7.75,N,No
System685,Planet2,1257.04,1257.04,0.19,0.49,88.66,Y,No
System685,Planet3,1171.12,1171.12,0.17,0.46,93.6,N,No
System686,Planet1,519.86,519.86,0.22,0.66,71.27,Y,No
System686,Planet2,579.06,579.06,0.17,0.59,0.62,Y,No
System686,Planet3,657.24,657.24,0.22,0.54,-21.98,Y,No
System687,Planet1,1226.15,1226.15,0.3,0.5,60.26,N,No
System687,Planet2,246.68,246.68,0.25,0.62,79.43,N,No
System687,Planet3,420.95,420.95,0.22,0.77,-22.2,N,No
System688,Planet1,474.21,474.21,0.14,0.77,6.92,N,No
System688,Planet2,1329.32,1329.32,0.12,0.53,93.97,N,No
System688,Planet3,431.6,431.6,0.19,0.77,61.84,Y,No
System689,Planet1,1245.06,1245.06,0.12,0.8,84.05,N,No
System689,Planet2,989.93,989.93,0.2,0.61,90.54,N,No
System689,Planet3,1185.07,1185.07,0.27,0.74,48.91,Y,No
System690,Planet1,692.3,692.3,0.11,0.75,33.35,Y,No
System690,Planet2,1059.85,1059.85,0.15,0.47,12.45,N,No
System690,Planet3,610.01,610.01,0.2,0.5,-5.76,Y,No
System691,Planet1,1312.89,1312.89,0.12,0.52,56.07,Y,No
System691,Planet2,1453.02,1453.02,0.26,0.78,19.27,Y,No
System691,Planet3,951.19,951.19,0.23,0.68,88.72,N,No
System692,Planet1,254.39,254.39,0.27,0.32,-24.89,Y,No
System692,Planet2,635.77,635.77,0.2,0.4,90.62,N,No
System692,Planet3,994.81,994.81,0.21,0.43,92.59,Y,No
System693,Planet1,407.52,407.52,0.26,0.5,-9.44,N,No
System693,Planet2,745.11,745.11,0.11,0.48,83.64,N,No
System693,Planet3,1072.51,1072.51,0.15,0.59,8.76,Y,No
